name;income;spending
г. Москва;2473969330295,50;2796962777042,60
Московская область;755603584849,00;882906431797,00
г. Санкт-Петербург;637650799724,70;677471871039,30
Краснодарский край;352552156769,00;346391690608,80
Республика Татарстан (Татарстан);326352271311,60;336519451173,60
Свердловская область;318186865058,60;344184904871,40
Ханты-Мансийский автономный округ;308679432104,00;334939399701,70
Красноярский край;302445719594,30;300126505115,80
Республика Саха (Якутия);244196172114,20;262171793969,50
Республика Башкортостан;239802089149,20;268533946884,00
Ямало-Ненецкий автономный округ;239289900820,20;237841634787,20
Иркутская область;229200879232,40;253475014238,20
Тюменская область;225729072637,20;246510014024,90
Ростовская область;222841741215,50;239267386877,50
Челябинская область;215767404614,50;226239846549,10
Нижегородская область;212445462941,20;225884425537,90
Самарская область;208889220431,60;234835618550,80
Сахалинская область;202573571242,20;209762432854,80
Новосибирская область;200922407188,10;217594083919,40
Кемеровская область;199172713650,90;206117360283,20
Республика Крым;196487476187,80;203387082988,50
Ленинградская область;172534951579,10;182977634784,60
Пермский край;171442627981,60;198013945194,20
Приморский край;163751982554,20;175479445326,70
Республика Дагестан;141913427284,90;147230522118,50
Воронежская область;138618686749,00;147949892573,90
Хабаровский край;136715107111,70;146880032104,00
Ставропольский край;136406451622,30;146903266600,00
Волгоградская область;135029422467,20;136973147421,50
Калининградская область;133394563895,90;136006913430,40
Алтайский край;123805009189,30;135952463123,10
Саратовская область;122871541986,90;126674485145,70
Белгородская область;119013817863,00;128609823282,70
Оренбургская область;114834887898,00;120618786850,70
Омская область;112992317325,10;115035997911,30
Архангельская область;106152210060,00;113296153373,90
Тульская область;101042409602,70;107675268560,60
Мурманская область;100843116177,20;102924696169,50
Вологодская область;99861630782,50;98790517699,10
Удмуртская республика;98763709811,50;101372009355,50
Чеченская республика;97375179305,10;101509855038,70
Республика Коми;97065726964,00;100148647200,90
Камчатский край;92916392098,00;98016940598,10
Забайкальский край;90948958768,60;92377074300,00
Ярославская область;86070570153,30;87279495255,10
Томская область;81595109324,40;86762991835,60
Калужская область;81259168874,80;90284251657,70
Республика Бурятия;79665050586,40;83606807894,20
Тверская область;79160886545,70;83474459256,40
Амурская область;78093625626,00;82833013651,90
Владимирская область;75496947821,50;80431147895,40
Курская область;74255208750,80;78964757080,00
Липецкая область;73999545124,70;83129522874,60
Брянская область;73015758296,70;76085800851,00
Кировская область;71450862191,40;72632035128,00
Ульяновская область;71437979007,80;73338640205,10
Рязанская область;69980728270,10;73194823874,30
Пензенская область;69471785169,00;71148787704,50
Чувашская Республика-Чувашия;65220433522,40;66905877963,60
Республика Карелия;61679570937,20;62899596011,80
Астраханская область;61312096379,50;61580202468,20
Курганская область;57262587162,00;61138970580,20
Чукотский автономный округ;56392025400,00;57155392300,00
Тамбовская область;55262372753,10;59467573254,50
Смоленская область;53605629674,40;55973272975,30
Ивановская область;50339352805,60;52254836407,10
Республика Мордовия;49871895915,00;50656182497,20
г. Севастополь;45876685345,70;52007571347,30
Магаданская область;44172115547,00;44547839761,10
Орловская область;43598085355,00;45507110569,70
Костромская область;43250358363,30;42831213956,40
Новгородская область;43096863209,20;44722875293,10
Псковская область;42675224620,90;44838735349,70
Кабардино-Балкарская Республика;41210988353,80;40309124675,60
Республика Северная Осетия-Алания;38009686130,70;38912873618,90
Республика Хакасия;37767114835,60;41825448570,70
Республика Марий Эл;37197047999,10;36430868891,90
Республика Тыва;34809644797,60;37067495659,50
Республика Ингушетия;32064489605,00;32656007944,60
Карачаево-Черкесская Республика;30490115381,40;30498108977,60
Республика Адыгея (Адыгея);28106523075,40;29983938399,40
Республика Алтай;26136091863,40;27373195483,30
Ненецкий автономный округ;24408614077,60;26301775220,00
Республика Калмыкия;19797785653,60;20431194403,10
Еврейская автономная область;15296433037,60;16355614395,70
