region_id;income;spending;year
1;2846606121538,90;3568350307478,30;2021
3;917469603959,50;961652616288,40;2021
2;805653898830,00;815602332217,90;2021
4;409697466956,20;411079262296,80;2021
5;406825978119,80;436994452340,30;2021
6;386377518920,10;436975283806,90;2021
7;372290068689,70;382615091617,10;2021
10;322538993900,40;353835302702,60;2021
11;315375394865,50;335732393171,50;2021
18;313254681157,80;286748347406,10;2021
8;291936825906,80;294799769186,80;2021
46;286114922133,20;312920513422,00;2021
12;283222652116,50;307503310275,70;2021
15;275433819155,40;281312351217,60;2021
9;274686876490,00;255353450135,10;2021
17;269424057604,10;288773408244,60;2021
14;267577162776,10;297166732777,40;2021
16;266250534707,50;295720819968,30;2021
20;226366833993,00;281064490561,80;2021
19;216152173233,60;232470477372,60;2021
21;204303621891,60;248326097023,60;2021
22;198239578340,60;223005756825,40;2021
23;197958921935,90;206921657197,90;2021
24;185791609395,00;200058124803,90;2021
32;182011001287,20;160636141816,60;2021
25;177988964244,70;190259376992,20;2021
27;176222472162,00;185847993471,70;2021
26;174569426009,70;184876647543,50;2021
28;168857607238,40;173384286780,40;2021
31;164344270404,30;171401209164,60;2021
29;161602838671,00;170387987820,90;2021
30;161473934788,90;178118415415,00;2021
36;149085035563,00;129413974630,90;2021
34;145143997086,20;154882922640,30;2021
33;144537314971,60;150012293754,20;2021
39;137256988579,40;143430902105,60;2021
41;135509678898,60;131797164049,40;2021
37;134237991685,10;145548643978,90;2021
38;127002247271,50;134151672791,70;2021
35;126560847307,40;146187865876,10;2021
40;124143430165,30;131040179768,80;2021
44;114458402364,70;131079423794,60;2021
42;114173984258,10;118912353825,20;2021
43;114086114270,50;120508765831,70;2021
50;108806136067,90;117110250713,70;2021
45;106233600672,60;109531299848,90;2021
82;106179595250,90;110781654626,60;2021
47;105791765175,10;115881826225,70;2021
49;104846891217,00;113582412380,10;2021
48;103143217482,20;125363820753,50;2021
52;97173719771,60;103591097584,80;2021
55;96948641502,70;97644598695,80;2021
51;96230212686,80;95990083472,70;2021
53;96190678306,30;103175119695,20;2021
57;92365664822,80;101214932103,10;2021
56;91863139668,70;94694565318,70;2021
54;88989041062,10;93140143605,00;2021
58;87555908058,00;88188276106,50;2021
60;80708337195,60;90286551013,80;2021
61;80316466279,80;80991228986,00;2021
59;77224390862,90;79107219767,40;2021
69;71368828941,00;80526926681,70;2021
64;69351954569,60;69453709496,00;2021
63;68752749952,10;72499448195,50;2021
65;64437958754,90;67429301167,00;2021
66;63744030916,80;70091729016,90;2021
72;57753404321,70;60425632399,00;2021
67;56957982692,70;57211048696,70;2021
68;56808698499,10;57777110195,10;2021
75;54828041354,50;56808924124,30;2021
70;54732916735,00;56152440645,20;2021
73;54637163257,20;57701632302,30;2021
71;53749325719,30;55926284197,20;2021
76;53534622683,60;55731290462,10;2021
78;52506270000,00;59214923400,00;2021
62;52312793469,80;64288620526,30;2021
74;51798253133,40;53622620746,40;2021
77;51261189766,80;53601616215,50;2021
79;43893609984,50;44138228084,50;2021
81;39895793523,80;39151157894,60;2021
80;38608496579,50;39042277903,70;2021
13;32205277809,70;33938366518,90;2021
83;29590810118,50;30140006254,00;2021
85;24045634882,00;24521362267,40;2021
84;23933199997,40;26413795796,60;2021
