name;income;spending
г. Москва;2006615181517,90;2268829672131,50
Московская область;609019451596,10;714807862596,10
г. Санкт-Петербург;512097622341,00;584712961560,60
Краснодарский край;287471294968,60;290749707428,60
Республика Татарстан (Татарстан);276419294135,30;281581274632,50
Свердловская область;258865306317,80;278117523913,30
Красноярский край;245309198518,50;264968206378,30
Ханты-Мансийский автономный округ - Югра;222793477209,00;254451135299,20
Республика Саха (Якутия);213526962151,60;225801038157,90
Республика Башкортостан;195003585478,90;200549124866,50
Ростовская область;189692007933,80;200251868317,00
Самарская область;183184763219,90;190619826759,50
Челябинская область;176649309171,60;176042181224,60
Нижегородская область;174958010115,80;184260147535,20
Ямало-Ненецкий автономный округ;173136092398,80;174494241148,80
Республика Крым;170454144009,90;172332078621,00
Кемеровская область - Кузбасс;166250407937,70;149311233520,80
Иркутская область;158893305085,60;170614953287,00
Новосибирская область;157111458133,40;164371041400,90
Тюменская область;149671186825,60;171803900075,50
Пермский край;133324959035,60;153573833211,40
Ленинградская область;129368456732,20;151406965960,70
Сахалинская область;125579731565,00;144258268714,60
Приморский край;120180820965,40;124679806144,30
Ставропольский край;112622886150,80;120419291077,90
Калининградская область;112590100132,60;116666099686,40
Волгоградская область;112291041977,30;116399432284,50
Воронежская область;109304876589,10;112887089627,10
Республика Дагестан;106964314273,00;106734977468,10
Хабаровский край;105130515753,00;120688795849,70
Алтайский край;99094170395,40;105525569173,30
Саратовская область;98252333847,10;103196254623,10
Белгородская область;94898678486,00;98070823387,80
Оренбургская область;91578266574,80;94472131572,70
Омская область;88486748614,70;92083679385,80
Тульская область;82984059645,30;91986353177,00
Архангельская область;82207101438,50;86307866550,30
Удмуртская Республика;79461424998,00;81492133658,70
Республика Коми;78100554515,60;82703531827,60
Чеченская Республика;77069244831,60;81419262270,30
Ярославская область;75608225546,60;79056584086,20
Камчатский край;74722007072,40;79271256399,40
Мурманская область;72658591544,80;75804983113,10
Томская область;71209560359,50;74929351586,10
Вологодская область;70224006410,70;65880680871,90
Калужская область;67277001905,40;70557661073,70
Тверская область;67135855377,00;73199101201,90
Владимирская область;63356751233,40;66220873103,70
Липецкая область;62099858117,40;65309853385,90
Брянская область;61262156642,60;61692773652,10
Ульяновская область;60198951087,10;62950895838,40
Курская область;59033626135,80;61926104324,10
Пензенская область;58722869362,50;59929265220,90
Забайкальский край;58204601399,90;62490049318,50
Кировская область;58178429799,80;59647488944,30
Амурская область;57175022209,40;61171486132,60
Республика Бурятия;56244670202,10;61499505159,80
Рязанская область;55415259132,40;56456709709,90
Чувашская Республика;51195116486,50;53451046890,20
Республика Мордовия;49640609543,70;54785277394,40
Тамбовская область;49273864107,40;52751263306,90
Смоленская область;46057523165,80;46182084016,20
Курганская область;43180646133,30;47345585385,20
Республика Карелия;42475596219,20;46067557464,50
Астраханская область;40023153244,70;43528913886,20
Ивановская область;39790767365,90;41278649787,40
Магаданская область;37710438275,00;38468943690,10
Новгородская область;34898314796,60;36130350871,50
г. Севастополь;34824080928,20;38214223297,00
Орловская область;34146079972,70;39437211322,40
Кабардино-Балкарская Республика;33300016818,10;35180207142,00
Псковская область;32793034103,70;35605679680,20
Республика Хакасия;30892056939,70;36628242405,70
Чукотский автономный округ;30713093900,00;32752037800,00
Республика Марий Эл;30635243893,10;30983715355,30
Костромская область;30422772188,10;33752923699,10
Республика Северная Осетия-Алания;28127433450,60;29751309495,90
Республика Тыва;25038776236,50;26372921778,50
Карачаево-Черкесская Республика;24724174740,20;25054353450,90
Республика Ингушетия;24679116602,50;25146969317,50
Республика Адыгея (Адыгея);18583289499,20;20382557808,30
Ненецкий автономный округ;18456464527,60;19939443736,30
Республика Горный Алтай;18108746863,80;19143721089,50
Республика Калмыкия;13653576797,00;14962130777,70
Еврейская автономная область;10963786239,50;12042815704,00
